id_for_x,ctf_id,a,found_a,abstains,certifies_infeasibility,exec_time
28,1,"[array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(0.), array(-1.), array(-1.), array(1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.)]",True,False,False,0.005446000000000062
29,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,False,0.0
30,1,"[array(0.), array(1.), array(1.), array(1.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(0.), array(1.), array(0.), array(-1.), array(0.), array(0.), array(1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(0.)]",True,False,False,0.005380000000000162
31,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,False,0.0
32,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,False,0.0
33,1,"[array(0.), array(0.), array(-1.), array(1.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.)]",True,False,False,0.005398000000000014
34,1,"[array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(0.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.)]",True,False,False,0.005390000000000006
35,1,"[array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(0.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.)]",True,False,False,0.00548700000000002
36,1,"[array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(0.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(1.), array(-1.), array(-1.), array(-1.), array(1.), array(0.), array(-1.), array(0.), array(0.), array(0.)]",True,False,False,0.005400000000000071
37,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,False,0.0
38,1,"[array(0.), array(0.), array(0.), array(1.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(1.), array(1.), array(-1.), array(-1.), array(0.), array(0.), array(-1.), array(-1.), array(0.), array(0.), array(-1.), array(-1.), array(0.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.)]",True,False,False,0.00546000000000002
39,1,"[array(0.), array(0.), array(-1.), array(1.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(0.), array(-1.), array(-1.), array(0.), array(1.), array(-1.), array(0.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.), array(-1.)]",True,False,False,0.005398999999999932
